,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
5143,2021 Hyundai Venue SX 1.0 Turbo iMT,12K km, · Petrol, · Manual,"Mileage (ARAI)
18 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",,₹10.23 Lakh
5144,2021 Skoda Kushaq Ambition 1.0L TSI AT,11K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹13.53 Lakh
5145,2020 Maruti Suzuki S-Presso VXI Opt CNG,81K km, · Petrol+cng, · Manual,,"Mileage (ARAI)
31.19 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Max power
58 bhp
VIEW ALL SPECIFICATIONS",₹4 Lakh
5146,2018 Maruti Suzuki Ciaz Alpha Petrol,35K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91.1 bhp
VIEW ALL SPECIFICATIONS",₹7.95 Lakh
5147,2018 Maruti Suzuki Ignis Zeta MT Petrol,20K km, · Petrol, · Manual,"Mileage (ARAI)
20.89 kmpl
Ground clearance
180 mm
Boot space
260 litres
Seating capacity
5 units
Fuel tank capacity
32 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.15 Lakh
5148,2022 Maruti Suzuki Swift VXI,15K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.80 Lakh
5149,2014 Hyundai i10 Sportz Petrol,43K km, · Petrol, · Manual,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68 bhp
VIEW ALL SPECIFICATIONS",,₹3.37 Lakh
5150,2021 Tata Safari XZ Plus,36K km, · Diesel, · Manual,,"Mileage (ARAI)
16.14 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Fuel tank capacity
50 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹19.14 Lakh
5151,2021 Hyundai Venue SX Plus 1.0 Turbo DCT,10K km, · Petrol, · Automatic,"Mileage (ARAI)
18.15 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",,₹11.18 Lakh
5152,2019 Honda Amaze 1.2 S CVT i-VTEC,92K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
165 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
88.76 bhp
VIEW ALL SPECIFICATIONS",₹5.79 Lakh
5153,2019 Ford EcoSport Trend 1.5L TDCi,89K km, · Diesel, · Manual,"Mileage (ARAI)
21.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
98.96 bhp
VIEW ALL SPECIFICATIONS",,₹6.96 Lakh
