manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Tata,Tata Nexon XZ Plus Dual Tone Roof Diesel,2018,35,21.5,5,Diesel,Manual,209,350,44,108.5,8.96
MG,MG Motors Gloster Sharp 2.0 Twin Turbo 7 STR 4WD,2020,30,19.365,5,Diesel,Automatic,170,350,43,88.51,34.48
Kia,Kia Sonet HTX 1.0 iMT,2020,18,18.2,5,Petrol,Manual,205,392,45,88.51,10.22
Hyundai,Hyundai Verna Fluidic 1.6 CRDi SX,2013,98,21.9,5,Diesel,Manual,170,465,43,126,5.26
Skoda,Skoda Superb Elegance 1.8 TSI AT,2015,57,13.1,5,Petrol,Automatic,159,565,60,158,10.33
Maruti Suzuki,Maruti Suzuki Swift Dzire VXI,2012,60,19.1,5,Petrol,Manual,170,320,42,85.8,4.36
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2022,9,19.365,5,Petrol,Manual,170,350,43,88.51,5.48
Hyundai,Hyundai Elite i20 Asta 1.2,2017,61,18.6,5,Petrol,Manual,170,285,45,82,6.33
Hyundai,Hyundai Santa Fe 2 WD AT,2016,94,19.365,7,Diesel,Automatic,170,350,64,88.51,12.69
Mahindra,Mahindra XUV500 W10,2018,87,16,7,Diesel,Manual,200,350,70,140,13.57
Toyota,Toyota Corolla Altis G Diesel,2014,96,21.3,5,Diesel,Manual,175,470,55,87,8.12
Renault,Renault Kwid 1.0 RXT Opt,2021,9,22,5,Petrol,Manual,180,279,28,67,4.55
Hyundai,Hyundai Xcent SX Petrol,2018,33,20.14,5,Petrol,Manual,165,407,43,81.86,6.3
Hyundai,Hyundai Elite i20 Asta 1.2,2015,39,18.6,5,Petrol,Manual,170,285,45,82,5.94
Honda,Honda City 1.5 V MT,2012,39,16.8,5,Petrol,Manual,170,350,42,88.51,4.72
Renault,Renault Duster 85 PS RxL (Opt),2014,72,20.45,5,Diesel,Manual,205,475,50,84,6.31
Tata,Tata Nexon XM S Petrol,2021,14,17,5,Petrol,Manual,209,350,44,88.51,8.83
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2013,56,22.74,5,Petrol,Manual,160,177,35,47.3,2.41
Tata,Tata Harrier XZ Plus,2020,17,17,5,Diesel,Manual,205,425,50,167.67,18.01
Renault,Renault Kwid RXL,2018,35,25.17,5,Petrol,Manual,180,300,28,53.3,3.38
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2016,92,15.29,5,Petrol,Automatic,190,400,60,122,8.95
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2012,39,18.9,5,Petrol,Manual,165,350,35,67.1,3.14
Maruti Suzuki,Maruti Suzuki Wagon R 1.2 ZXI,2022,10,20.52,5,Petrol,Manual,170,341,32,88,5.85
Volkswagen,Volkswagen Polo Highline1.2L (P),2017,41,16.2,5,Petrol,Manual,165,280,45,74,6.01
Hyundai,Hyundai Creta 1.6 SX Plus,2016,62,19.67,5,Diesel,Manual,190,350,60,126,9.78
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.6,2015,78,22.07,5,Diesel,Manual,180,353,48,118,6.84
Skoda,Skoda Rapid New Style TDI AT,2017,77,21.14,5,Diesel,Automatic,163,460,55,103,9.26
Ford,Ford Figo Aspire Titanium 1.2 Ti-VCT,2020,28,18.5,5,Petrol,Manual,174,359,42,88.51,6.61
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT CNG,2019,22,19.77,5,Petrol+cng,Manual,165,350,43,81,5.83
Honda,Honda WR-V i-VTEC VX,2020,28,16.5,5,Petrol,Manual,188,363,40,88.51,8.4
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2011,24,18.9,5,Petrol,Manual,165,350,35,67.1,2.89
Tata,Tata Harrier XZ,2019,62,17,5,Diesel,Manual,205,425,50,138,14.56
Renault,Renault Duster RXZ Petrol,2020,60,16.42,5,Petrol,Manual,205,475,50,88.51,8.38
Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.3 Diesel,2018,67,28.09,5,Diesel,Manual,170,510,43,88.5,8.65
Honda,Honda City VX,2019,23,17.4,5,Petrol,Manual,165,510,40,117.6,9.68
Mahindra,Mahindra XUV500 W9 AT,2018,67,15.1,7,Diesel,Automatic,200,350,70,88.51,11.69
Honda,Honda City V,2014,62,17.8,5,Petrol,Manual,165,510,40,117.3,5.24
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi,2019,30,24.3,5,Diesel,Manual,198,328,48,89,9.71
Chevrolet,Chevrolet Sail U-VA 1.2 LS,2014,42,18.2,5,Petrol,Manual,170,350,42,88.51,2.35
Toyota,Toyota Corolla Altis VL AT Petrol,2014,69,16.7,5,Petrol,Automatic,175,470,55,38,8.3
Maruti Suzuki,Maruti Suzuki Swift Dzire ZDI,2015,114,23.4,5,Diesel,Manual,170,320,42,74,4.99
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2015,51,21.01,5,Petrol,Manual,170,339,37,81.8,5.1
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2021,28,21.01,5,Petrol,Manual,170,339,37,81.8,6.79
Mahindra,Mahindra XUV 300 W6 Diesel,2019,81,19.365,5,Diesel,Manual,180,259,42,88.51,7.54
Honda,Honda Mobilio S Petrol,2014,71,17.3,7,Petrol,Manual,189,350,42,118,4.9
Honda,Honda Brio S MT,2015,94,19.4,5,Petrol,Manual,165,175,35,86.8,3.33
Chevrolet,Chevrolet Beat LS Petrol,2015,60,18.6,5,Petrol,Manual,165,170,35,79,2.43
Toyota,Toyota Etios Liva G,2015,42,17.71,5,Petrol,Manual,170,251,45,80,3.81
Hyundai,Hyundai Venue SX 1.0 (O) Turbo,2020,81,18.27,5,Petrol,Manual,195,350,45,118.35,8.29
Ford,Ford EcoSport SE 1.5L TDCi,2021,75,19.365,5,Diesel,Manual,170,350,43,88.51,9.27
Maruti Suzuki,Maruti Suzuki Baleno Zeta AT Petrol,2020,55,21.01,5,Petrol,Automatic,170,339,37,81.8,7.03
Maruti Suzuki,Maruti Suzuki New Ertiga ZDI +,2019,69,25.47,7,Diesel,Manual,170,209,45,88.5,11.58
Maruti Suzuki,Maruti Suzuki Dzire ZXI,2018,74,23.26,5,Petrol,Manual,163,378,37,88.5,5.89
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2021,29,21.01,5,Petrol,Manual,170,339,37,81.8,6.81
Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.5 Diesel,2019,54,26.82,5,Diesel,Manual,170,510,43,94,9.17
Honda,Honda Amaze 1.2 VX i-VTEC,2015,59,18,5,Petrol,Manual,165,400,35,86.9,4
Mahindra,Mahindra XUV 300 W8 AMT (O) Diesel,2020,46,20,5,Diesel,Automatic,180,350,42,115,11.21
Honda,Honda Amaze 1.5 S (O),2017,87,19.365,5,Diesel,Manual,170,350,35,88.51,4.61
Hyundai,Hyundai Elite i20 Sportz Plus 1.2,2020,51,19.8,5,Petrol,Manual,170,285,40,82,6.65
Maruti Suzuki,Maruti Suzuki Baleno Zeta Diesel,2016,72,27.39,5,Diesel,Manual,170,339,37,74,6.1
Honda,Honda City V,2016,105,17.8,5,Petrol,Manual,165,510,40,117.3,5.74
Honda,Honda City SV,2022,4,19.365,5,Petrol,Manual,165,510,40,88.51,9.85
Honda,Honda City ZX CVT,2022,17,18.4,5,Petrol,Automatic,170,506,40,119.35,13.83
Renault,Renault Duster RXS CVT Petrol,2017,37,15,5,Petrol,Automatic,205,475,50,88.51,6.62
Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi (O),2017,62,24.3,5,Diesel,Manual,198,350,48,89,7.43
Maruti Suzuki,Maruti Suzuki Celerio VXI,2021,7,21.63,5,Petrol,Manual,165,235,35,67.04,5.09
Hyundai,Hyundai New i20 Asta 1.0 Turbo IMT,2021,17,20.2,5,Petrol,Manual,170,311,37,118,8.38
Maruti Suzuki,Maruti Suzuki S-Cross Zeta 1.3,2017,83,23.65,5,Diesel,Manual,180,353,48,89,6.65
Hyundai,Hyundai New Santro 1.1 Sportz Petrol + CNG (outside fitted),2019,37,20.3,5,Petrol+cng,Manual,165,235,35,68.07,5.23
Honda,Honda Mobilio S Petrol,2014,55,17.3,7,Petrol,Manual,189,350,42,118,5.38
Hyundai,Hyundai Creta 1.6 SX Plus Auto,2015,67,17.01,5,Diesel,Automatic,190,400,60,126,8.55
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.5,2021,10,18.55,5,Petrol,Manual,170,375,48,103.25,9.32
Renault,Renault Duster RXZ Petrol,2021,12,16.42,5,Petrol,Manual,205,475,50,88.51,9.02
Maruti Suzuki,Maruti Suzuki Celerio VXI,2018,94,23.1,5,Petrol,Manual,165,235,35,67.04,3.76
Hyundai,Hyundai Elite i20 Asta 1.2,2015,51,18.6,5,Petrol,Manual,170,285,45,82,5.49
Tata,Tata Tigor Revotron XZA Plus,2019,16,20.3,5,Petrol,Automatic,170,419,35,84.48,7.05
Hyundai,Hyundai Elite i20 Asta CVT,2018,10,19.8,5,Petrol,Automatic,170,285,40,82,7.87
Renault,Renault Triber RXT AMT,2021,16,19.365,7,Petrol,Automatic,182,84,40,88.51,7.08
Tata,Tata Safari XZ Plus 6 STR,2021,16,16.14,6,Diesel,Manual,205,73,50,167.67,18.89
Tata,Tata Punch Creative AMT Dual Tone,2022,20,18.9,5,Petrol,Automatic,187,366,37,84,8.9
Hyundai,Hyundai Venue SX Plus 1.0 Turbo DCT,2019,20,18.15,5,Petrol,Automatic,195,350,45,118.35,10.7
Mahindra,Mahindra Thar LX 4 STR Hard Top Petrol MT,2021,24,19.365,4,Petrol,Manual,226,350,57,150,14.36
Renault,Renault Duster 85 PS RXS MT,2019,40,19.365,5,Diesel,Manual,205,475,50,88.51,8.16
Maruti Suzuki,Maruti Suzuki Swift ZXI,2021,12,21.21,5,Petrol,Manual,163,268,37,81.8,7.18
Honda,Honda Jazz V CVT,2022,8,17.01,5,Petrol,Automatic,165,354,40,88.51,8.45
Nissan,Nissan Magnite XL,2021,19,18.75,5,Petrol,Manual,205,336,40,88.51,6.38
Maruti Suzuki,Maruti Suzuki Alto 800 LXI,2013,11,22.74,5,Petrol,Manual,160,177,35,47.3,2.49
Nissan,Nissan Magnite XV Premium Turbo (O),2022,5,20,5,Petrol,Manual,205,336,40,99,9.49
Jeep,Jeep Compass Limited 2.0 Diesel 4x4,2017,51,16.3,5,Diesel,Manual,178,408,60,170,14.62
Hyundai,Hyundai Venue SX 1.0 (O) Turbo,2019,23,18.27,5,Petrol,Manual,195,350,45,118.35,9.75
Hyundai,Hyundai Verna 1.6 CRDI SX,2018,88,24.75,5,Diesel,Manual,165,480,43,121,8.82
Hyundai,Hyundai i20 Active 1.2 SX,2016,89,17.19,5,Petrol,Manual,190,285,45,82,5.94
Jeep,Jeep Compass Limited (O) 2.0 Diesel,2017,45,17.1,5,Diesel,Manual,178,408,60,170.63,14.24
Tata,Tata Harrier XZ,2019,93,17,5,Diesel,Manual,205,425,50,138,13.02
Hyundai,Hyundai Venue SX 1.0 Turbo,2021,26,18.27,5,Petrol,Manual,195,350,45,118.35,9.88
Hyundai,Hyundai i20 Asta 1.4 CRDI,2012,78,21.93,5,Diesel,Manual,165,295,45,89,4.25
Maruti Suzuki,Maruti Suzuki Dzire VDi AMT,2017,64,28.4,5,Diesel,Automatic,170,378,37,74,6.79
Hyundai,Hyundai i20 Active 1.2 S,2017,33,17.19,5,Petrol,Manual,190,350,45,82,6.64
Ford,Ford EcoSport Ambiente 1.5L TDCi,2019,80,23,5,Diesel,Manual,200,352,52,98.96,7.4
Volkswagen,Volkswagen Ameo Highline1.2L (P),2017,33,17,5,Petrol,Manual,163,330,45,73.75,5.83
Maruti Suzuki,Maruti Suzuki Swift VDi ABS,2016,95,22.9,5,Diesel,Manual,170,232,43,74,5.19
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2021,12,20.65,5,Petrol,Manual,170,510,43,103.25,9.97
Volkswagen,Volkswagen Ameo Comfortline Plus 1.2L (P),2017,58,19.365,5,Petrol,Manual,163,350,45,88.51,5.03
Hyundai,Hyundai Elite i20 Magna Executive 1.2,2018,19,19.8,5,Petrol,Manual,170,285,40,82,6.17
Kia,Kia Seltos GTX Plus DCT,2020,51,16.8,5,Petrol,Automatic,190,433,50,138,15.57
Renault,Renault Scala RxZ Diesel,2016,67,21.64,5,Diesel,Manual,161,490,41,85,7.08
Renault,Renault Duster RXS Petrol,2021,13,16.42,5,Petrol,Manual,205,475,50,104.55,8.73
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Diesel,2019,92,19.365,5,Diesel,Manual,170,510,43,88.5,9.06
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2018,54,21.21,5,Petrol,Manual,163,268,37,81.8,6.64
Maruti Suzuki,Maruti Suzuki Ciaz Alpha Petrol,2019,29,20.65,5,Petrol,Manual,170,510,43,103.25,8.89
MG,MG Motors Hector Smart 1.5 Petrol Turbo DCT,2020,22,13.96,5,Petrol,Automatic,192,587,60,141,16.12
Tata,Tata Harrier XT,2019,36,17,5,Diesel,Manual,205,425,50,167.67,15.08
Kia,Kia Seltos HTX Plus D,2019,49,20.8,5,Diesel,Manual,170,433,50,88.51,14.53
Kia,Kia Seltos HTX D,2020,31,20.8,5,Diesel,Manual,190,433,50,113.4,13.38
Hyundai,Hyundai i10 Sportz Petrol,2014,30,20.36,5,Petrol,Manual,165,225,35,68,2.39
Skoda,Skoda Rapid New Ambition TDI,2018,55,21.14,5,Diesel,Manual,163,460,55,103,6.6
Hyundai,Hyundai Verna 1.6 CRDI SX (O),2018,31,24.75,5,Diesel,Manual,165,465,43,126,8.76
Volkswagen,Volkswagen Vento Trendline Petrol,2011,73,15.04,5,Petrol,Manual,168,480,55,103,2.68
Hyundai,Hyundai i20 Magna (O) 1.2,2014,31,18.15,5,Petrol,Manual,165,295,45,83,4.24
Honda,Honda City ZX CVT,2017,31,18,5,Petrol,Automatic,165,510,40,117.6,7.9
Mahindra,Mahindra XUV 300 W8 (O) Petrol,2020,27,17,5,Petrol,Manual,180,259,42,108.6,9.78
Toyota,Toyota Innova Crysta 2.4 V 7 STR,2018,40,13.68,7,Diesel,Manual,176,300,55,147.8,17.26
Tata,Tata Tigor Revotorq XM,2018,118,19.365,5,Diesel,Manual,170,350,43,88.51,3.9
Mahindra,Mahindra XUV500 W8,2012,76,15.1,7,Diesel,Manual,200,350,70,140,5.68
Kia,Kia Carens Prestige Plus 1.5 Diesel 7 STR,2022,33,19.365,7,Diesel,Manual,170,350,43,88.51,13.12
Ford,Ford Figo Duratorq Diesel EXI 1.4,2012,79,14.7,5,Diesel,Manual,168,284,45,69,1.87
Maruti Suzuki,Maruti Suzuki S-Cross Alpha 1.6,2015,108,22.07,5,Diesel,Manual,180,353,48,118,5.53
Maruti Suzuki,Maruti Suzuki Swift LXI,2020,49,18.6,5,Petrol,Manual,170,268,42,85.8,4.99
Hyundai,Hyundai Aura SX 1.2 (O) Petrol,2020,15,20.5,5,Petrol,Manual,165,402,37,88.51,6.52
Maruti Suzuki,Maruti Suzuki Ertiga ZDi,2012,77,20.77,7,Diesel,Manual,185,350,45,89,4
Hyundai,Hyundai Elite i20 Sportz 1.2,2017,76,18.6,5,Petrol,Manual,170,285,45,82,5.46
Maruti Suzuki,Maruti Suzuki Baleno Delta Petrol,2019,39,21.01,5,Petrol,Manual,170,339,37,81.8,5.8
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2019,36,21.01,5,Petrol,Manual,170,339,37,81.8,6.23
Maruti Suzuki,Maruti Suzuki Swift Dzire VDI,2012,85,23.4,5,Diesel,Manual,170,320,42,74,3.46
Hyundai,Hyundai Grand i10 Magna 1.2 Kappa VTVT CNG (outside fitted),2016,97,18.9,5,Petrol+cng,Manual,165,350,43,81,3.11
Toyota,Toyota Yaris V,2018,58,17.8,5,Petrol,Manual,165,476,42,88.51,6.21
Maruti Suzuki,Maruti Suzuki Ertiga VDI ABS ANNIVERSARY EDITION,2014,97,20.77,7,Diesel,Manual,185,135,45,88.76,4.83
Hyundai,Hyundai Eon Era +,2014,91,21.1,5,Petrol,Manual,170,215,32,55.2,2.14
Mahindra,Mahindra KUV100 NXT K8 6 STR,2018,51,18.15,6,Petrol,Manual,170,243,35,82,4.36
Maruti Suzuki,Maruti Suzuki Swift Dzire VDI,2013,75,23.4,5,Diesel,Manual,170,320,42,74,3.14
Mahindra,Mahindra XUV500 W11,2020,81,15.1,7,Diesel,Manual,200,350,70,152.87,14.82
Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi,2019,45,24.3,5,Diesel,Manual,198,350,48,89,7.1
Renault,Renault Kwid RXL,2020,20,20.71,5,Petrol,Manual,184,279,28,53,3.42
Mahindra,Mahindra Marazzo M8,2018,69,17.3,7,Diesel,Manual,200,190,45,88.51,8.98
Chevrolet,Chevrolet Cruze LTZ AT,2017,95,14.81,5,Diesel,Automatic,165,350,60,164,6.89
Mahindra,Mahindra XUV500 W10,2018,28,16,7,Diesel,Manual,200,350,70,140,10.93
Maruti Suzuki,Maruti Suzuki Baleno Delta Petrol,2016,78,21.01,5,Petrol,Manual,170,339,37,81.8,4.61
Ford,Ford EcoSport Signature Edition Diesel,2019,47,23,5,Diesel,Manual,200,352,52,98.96,8.59
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2020,41,21.01,5,Petrol,Manual,170,339,37,81.8,6.58
Toyota,Toyota Yaris G,2018,19,17.18,5,Petrol,Manual,165,476,42,88.51,6.91
Hyundai,Hyundai Creta SX Turbo DCT Petrol,2020,35,19.365,5,Petrol,Automatic,190,433,50,88.51,15.61
Hyundai,Hyundai i20 Magna (O) 1.4 CRDI,2014,98,21.93,5,Diesel,Manual,165,295,45,89,3.93
Toyota,Toyota Etios Liva G,2015,92,17.71,5,Petrol,Manual,170,251,45,80,4.11
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2021,39,32.5,5,Petrol+cng,Manual,165,341,60,88.51,5.09
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2019,37,21.01,5,Petrol,Manual,170,339,37,81.8,6.34
Mahindra,Mahindra Marazzo M8,2018,18,17.3,7,Diesel,Manual,200,190,45,88.51,9.29
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2019,38,21.21,5,Petrol,Manual,163,268,37,81.8,6.69
Renault,Renault Duster 110 PS RXZ 4X2 AMT,2016,100,19.6,5,Diesel,Automatic,205,475,50,108.45,7.14
Volkswagen,Volkswagen Polo Highline Plus 1.2L (P),2018,108,16.2,5,Petrol,Manual,165,350,45,74,6.49
Maruti Suzuki,Maruti Suzuki Ignis Alpha MT Petrol,2017,50,20.89,5,Petrol,Manual,180,260,32,81.8,5.74
Kia,Kia Seltos GTX,2019,27,16.1,5,Petrol,Manual,190,433,50,138,13.39
Maruti Suzuki,Maruti Suzuki Swift VDi,2018,98,25.2,5,Diesel,Manual,170,350,42,74,5.65
Hyundai,Hyundai New i20 Asta 1.0 Turbo IMT,2020,18,20.2,5,Petrol,Manual,170,311,37,118,8.49
Hyundai,Hyundai Creta 1.6 SX Plus Petrol,2017,84,15.29,5,Petrol,Manual,190,400,60,122,8.36
Tata,Tata Nexon XMA AMT Diesel S,2021,32,22,5,Diesel,Automatic,209,350,44,88.51,10.15
Renault,Renault Triber RXZ Dual Tone,2021,16,20,7,Petrol,Manual,182,84,40,71,7.24
Honda,Honda City V 4th Gen,2018,35,17.4,5,Petrol,Manual,165,510,40,117.6,8.36
MG,MG Motors Hector 1.5 Sharp DCT AT,2020,34,13.96,5,Petrol,Automatic,170,587,60,141,16.08
Maruti Suzuki,Maruti Suzuki Swift ZXI Plus,2021,18,21.21,5,Petrol,Manual,163,268,37,81.8,7.31
Renault,Renault Triber RXZ,2021,39,20,7,Petrol,Manual,182,84,40,71,6.93
Tata,Tata Safari XZA Plus 6S,2021,32,14.08,7,Diesel,Automatic,205,73,50,167.67,21.2
Tata,Tata Hexa XTA,2017,50,19.365,7,Diesel,Automatic,200,128,60,88.51,13.98
Hyundai,Hyundai Xcent S Petrol,2019,46,20.14,5,Petrol,Manual,165,407,43,81.86,5.74
Renault,Renault Triber RXZ,2020,29,20,7,Petrol,Manual,182,84,40,71,6.12
Skoda,Skoda Kushaq Ambition 1.0L TSI MT,2022,15,19.2,5,Petrol,Manual,188,385,50,114,12.13
Kia,Kia Sonet GTX Plus 1.0 DCT,2020,46,18,5,Petrol,Automatic,205,392,45,118,11.17
Hyundai,Hyundai New i20 Asta 1.0 Turbo IMT,2020,20,20.2,5,Petrol,Manual,170,311,37,118,8.67
Renault,Renault Duster 110 PS RxZ 4x2 MT,2014,99,19.01,5,Diesel,Manual,205,475,50,108.45,5.61
Volkswagen,Volkswagen Polo All Star 1.5 (D),2017,92,20.18,5,Diesel,Manual,165,295,45,88,6.47
Honda,Honda Jazz VX Diesel,2019,55,27.3,5,Diesel,Manual,165,350,40,98.6,8.21
Datsun,Datsun GO T (O),2020,10,19.02,5,Petrol,Manual,185,222,28,67,4.72
Maruti Suzuki,Maruti Suzuki Dzire ZXI Plus,2021,14,23.26,5,Petrol,Manual,170,378,37,88.5,8.24
Toyota,Toyota Urban Cruiser Premium Grade AT,2020,42,18.76,5,Petrol,Automatic,198,328,48,103.26,10.81
Renault,Renault Triber RXZ AMT,2021,15,18.2,7,Petrol,Automatic,182,84,40,72,7.5
Hyundai,Hyundai Grand i10 Nios Sportz 1.0 Turbo GDI,2020,35,20.7,5,Petrol,Manual,170,260,37,88.51,6.83
Renault,Renault Duster RXZ Turbo Petrol,2020,26,16.42,5,Petrol,Manual,205,475,50,154,9.43
Nissan,Nissan Terrano XL D Plus,2018,59,20.5,5,Diesel,Manual,205,350,50,84,8.53
Hyundai,Hyundai New i20 Sportz 1.2 IVT,2021,11,21,5,Petrol,Automatic,170,311,37,82,8.77
Maruti Suzuki,Maruti Suzuki XL6 Alpha AT Petrol,2019,66,17.99,6,Petrol,Automatic,170,209,45,103.2,11.75
Hyundai,Hyundai New i20 Asta (O) 1.5 MT,2022,22,25.2,5,Diesel,Manual,170,311,37,99,10.82
Renault,Renault Duster RXZ Petrol,2021,27,16.42,5,Petrol,Manual,205,475,50,88.51,9.24
Maruti Suzuki,Maruti Suzuki Brezza ZXI,2022,14,20.01,5,Petrol,Manual,170,328,48,102,10.92
Mahindra,Mahindra XUV 300 W6 AMT Diesel,2020,39,20,5,Diesel,Automatic,180,259,42,115,11.05
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus,2017,67,24.3,5,Diesel,Manual,198,350,48,89,9.01
Maruti Suzuki,Maruti Suzuki Eeco STD 5 STR,2022,21,15.1,5,Petrol,Manual,160,350,40,73,4.95
Maruti Suzuki,Maruti Suzuki Swift ZXI AMT,2020,65,21.21,5,Petrol,Automatic,163,268,37,81.8,6.79
Maruti Suzuki,Maruti Suzuki Dzire ZXI AMT,2018,39,23.26,5,Petrol,Automatic,163,378,37,88.5,6.51
Maruti Suzuki,Maruti Suzuki Alto K10 VXI,2019,21,24.07,5,Petrol,Manual,160,177,35,67,3.84
Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,2019,21,19.77,5,Petrol,Manual,165,350,43,81,5.48
Maruti Suzuki,Maruti Suzuki S-Presso VXI,2020,40,21.7,5,Petrol,Manual,180,270,27,67,4.01
Honda,Honda WR-V i-VTEC SV,2021,7,17.5,5,Petrol,Manual,188,363,40,88.7,7.99
Maruti Suzuki,Maruti Suzuki Swift VDi,2016,90,22.9,5,Diesel,Manual,170,232,43,74,5.3
Hyundai,Hyundai Creta 1.6 SX AT VTVT,2019,22,15.8,5,Petrol,Automatic,190,400,55,121,11.99
Volkswagen,Volkswagen Polo Comfortline 1.2L (P),2014,60,16.2,5,Petrol,Manual,165,350,45,74,4.36
Maruti Suzuki,Maruti Suzuki S-Presso VXI (O),2022,6,21.7,5,Petrol,Manual,180,270,27,67,4.55
Honda,Honda Amaze 1.2 S i-VTEC,2018,36,18,5,Petrol,Manual,165,400,35,86.7,5.89
Hyundai,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,2022,24,18.5,5,Petrol+cng,Manual,170,260,60,68,7.76
Hyundai,Hyundai Creta 1.6 SX Plus Auto Petrol,2017,68,15.29,5,Petrol,Automatic,190,400,60,122,8.56
Honda,Honda WR-V i-VTEC SV,2020,24,17.5,5,Petrol,Manual,188,363,40,88.7,7.6
Hyundai,Hyundai Verna 1.6 CRDI SX,2019,45,24.75,5,Diesel,Manual,165,480,43,121,10.14
Kia,Kia Sonet HTK Plus 1.5,2020,26,24.1,5,Diesel,Manual,205,392,45,98.6,10.14
Honda,Honda City V 5th Gen,2020,19,18.4,5,Petrol,Manual,165,506,40,119.3,10.11
Kia,Kia Seltos GTX Plus DCT,2020,23,16.8,5,Petrol,Automatic,190,433,50,138,15.09
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXI CNG,2022,10,32.53,5,Petrol+cng,Manual,165,341,60,58.33,6.34
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2014,27,18.9,5,Petrol,Manual,165,350,35,67.1,3.36
Renault,Renault Kiger RXT Turbo CVT,2021,25,20.53,5,Petrol,Automatic,205,405,40,99,8.05
Tata,Tata Nexon XZ Plus Diesel,2018,52,21.05,5,Diesel,Manual,209,350,44,108.5,8.1
Maruti Suzuki,Maruti Suzuki Wagon R Stingray VXI,2015,20,19.365,5,Petrol,Manual,165,350,35,88.51,3.86
Hyundai,Hyundai i10 Sportz 1.2 Petrol,2013,72,20.36,5,Petrol,Manual,165,350,35,78.9,3.2
Tata,Tata Hexa XE,2018,31,19.365,5,Diesel,Manual,170,350,43,88.51,9.5
Mahindra,Mahindra Thar LX 4 STR Convertible Diesel AT,2021,19,15,4,Diesel,Automatic,226,350,57,130,15.52
Hyundai,Hyundai Grand i10 Nios Sportz 1.0 Turbo GDI,2021,15,20.7,5,Petrol,Manual,170,260,37,88.51,7.4
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2020,21,21.79,5,Petrol,Manual,170,341,32,67,5.12
Kia,Kia Seltos GTX Plus,2020,41,16.1,5,Petrol,Manual,170,433,50,138,14.58
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2019,28,21.01,5,Petrol,Manual,170,339,37,81.8,6.82
Tata,Tata Hexa XE,2018,63,19.365,5,Diesel,Manual,170,350,43,88.51,9.13
Tata,Tata Nexon XZ Plus Diesel,2018,96,21.05,5,Diesel,Manual,209,350,44,108.5,7.85
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2021,24,21.01,5,Petrol,Manual,170,339,37,81.8,7.3
Honda,Honda Amaze 1.2 S i-VTEC,2021,17,18.6,5,Petrol,Manual,170,420,35,88.76,6.74
Maruti Suzuki,Maruti Suzuki Vitara Brezza ZDi Plus,2016,102,24.3,5,Diesel,Manual,198,350,48,89,7.45
Honda,Honda City V 5th Gen,2021,10,18.4,5,Petrol,Manual,165,506,40,119.3,10.45
Hyundai,Hyundai Creta 1.6 SX Plus,2018,39,19.67,5,Diesel,Manual,190,350,60,126,12.16
Maruti Suzuki,Maruti Suzuki Wagon R 1.0 VXI,2017,38,18.9,5,Petrol,Manual,165,350,35,67.1,4.12
Hyundai,Hyundai Elite i20 Sportz 1.2,2018,41,19.8,5,Petrol,Manual,170,285,40,82,6.45
Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.5 Diesel,2019,60,26.82,5,Diesel,Manual,170,510,43,94,8.38
