manufacturer,brand,model (year),km driven (in thousands),mileage (in kmpl),seating capacity (units),fuel_type,transmission,ground clearance (in mm),boot space (in litres),fuel tank capacity (in litres),max power (in bhp),price (in lakh Rs.)
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2016,34,21.01,5,Petrol,Manual,170,339,37,81.8,5.19
Kia,Kia Seltos HTX Plus D,2020,66,20.8,5,Diesel,Manual,170,433,50,88.51,13.41
Kia,Kia Seltos HTX IVT G,2020,15,16.8,5,Petrol,Automatic,190,433,50,113.4,14.2
Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi,2019,39,24.3,5,Diesel,Manual,198,350,48,89,7.39
Honda,Honda Brio S MT,2016,79,19.4,5,Petrol,Manual,165,175,35,86.8,4.03
Hyundai,Hyundai i20 N Line N8 1.0 Turbo DCT,2022,13,20.2,5,Petrol,Automatic,170,311,37,118,11.49
Ford,Ford EcoSport Titanium + 1.5L Ti-VCT,2019,38,15.9,5,Petrol,Manual,200,352,52,121,8.1
Maruti Suzuki,Maruti Suzuki S-Presso VXI+,2021,7,21.01,5,Petrol,Manual,180,270,27,67,4.43
Mahindra,Mahindra XUV500 W7,2020,44,15.1,7,Diesel,Manual,200,350,70,152,13.53
Honda,Honda Amaze 1.2 VX CVT i-VTEC,2021,25,18.6,5,Petrol,Automatic,170,420,35,88.76,8
Hyundai,Hyundai Creta 1.6 SX Plus Auto,2017,75,17.01,5,Diesel,Automatic,190,400,60,126,8.59
Tata,Tata Nexon XM Petrol,2019,73,17,5,Petrol,Manual,209,350,44,118.3,6.38
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2016,52,21.01,5,Petrol,Manual,170,339,37,81.8,5.83
Chevrolet,Chevrolet Beat LS Petrol,2014,58,18.6,5,Petrol,Manual,165,350,35,79,1.99
Maruti Suzuki,Maruti Suzuki Baleno Zeta Petrol,2020,20,21.01,5,Petrol,Manual,170,339,37,81.8,6.84
Ford,Ford EcoSport Titanium 1.5L Ti-VCT AT,2014,100,16.5,5,Petrol,Automatic,200,346,52,109,5.13
Kia,Kia Seltos GTX,2019,26,16.1,5,Petrol,Manual,190,433,50,138,12.44
Maruti Suzuki,Maruti Suzuki Celerio X VXI Petrol+cng(outside fitted),2018,43,23.1,5,Petrol+cng,Manual,165,235,35,63,4.87
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol+CNG (Outside Fitted),2016,54,21.01,5,Petrol+cng,Manual,170,339,37,81.8,5.8
Ford,Ford EcoSport Ambiente 1.5L TDCi,2017,80,22.7,5,Diesel,Manual,200,346,52,99,5.36
Nissan,Nissan Terrano XL Petrol,2016,38,13.24,5,Petrol,Manual,205,475,50,102.5,5.87
Maruti Suzuki,Maruti Suzuki Baleno Alpha Petrol,2018,38,21.01,5,Petrol,Manual,170,339,37,81.8,6.44
Maruti Suzuki,Maruti Suzuki Swift VXI,2019,39,21.21,5,Petrol,Manual,163,268,37,81.8,5.47
Hyundai,Hyundai Venue SX 1.0 Turbo iMT,2021,12,18,5,Petrol,Manual,195,350,45,118.35,10.23
