,car-body
141,"('Maruti Suzuki Wagon R 1.0 VXI Petrol + CNG (Ou...', 'Hatchback')"
142,"('Nissan Kicks XV Diesel', 'SUV')"
143,"('Honda Amaze 1.2 V i-VTEC Petrol+CNG (Outside F...', 'Sedan')"
144,"('Mahindra XUV 300 W8 Diesel', 'SUV')"
145,"('Tata Nexon XZA Plus AMT Diesel', 'SUV')"
146,"('Maruti Suzuki Wagon R 1.0 LXI', 'Hatchback')"
147,"('Volkswagen Polo Highline1.2L (P)', 'Hatchback')"
148,"('Hyundai Eon Magna', 'Hatchback')"
149,"('Maruti Suzuki Ertiga ZDi', 'MPV')"
150,"('Tata Tiago Revotron XT', 'Hatchback')"
151,"('Maruti Suzuki Swift ZXI Plus', 'Hatchback')"
152,"('Hyundai Elite i20 Asta 1.2', 'Hatchback')"
153,"('Hyundai i20 Era 1.2', 'Hatchback')"
154,"('Hyundai New i20 Asta (O) 1.0 Turbo DCT', 'Hatchback')"
155,"('Maruti Suzuki Ciaz Alpha 1.3 Diesel', 'Sedan')"
156,"('Hyundai Elite i20 Sportz 1.4 CRDI', 'Hatchback')"
157,"('Hyundai Aura SX Plus 1.2 AMT Petrol', 'Sedan')"
158,"('Hyundai Creta SX Petrol', 'SUV')"
159,"('Mahindra XUV 300 W8 AMT (O) Diesel', 'SUV')"
160,"('Tata Nexon XZA Plus Dual Tone Roof AMT Petrol', 'SUV')"
161,"('Volkswagen Vento Comfortline Petrol', 'Sedan')"
162,"('Hyundai Santro Xing GLS', 'Hatchback')"
163,"('Maruti Suzuki Baleno Delta AT Petrol', 'Hatchback')"
164,"('Volkswagen Polo Highline 1.2 (D)', 'Hatchback')"
165,"('Hyundai Creta 1.4 E +', 'SUV')"
166,"('Maruti Suzuki Eeco 5 STR WITH A/C+HTR', 'Van')"
167,"('Volkswagen Vento Highline 1.0L TSI', 'Sedan')"
168,"('Hyundai Verna 1.6 VTVT SX (O) AT', 'Sedan')"
169,"('Hyundai Xcent SX Petrol', 'Sedan')"
170,"('MG Motors Astor Sharp EX 1.5 MT', 'SUV')"
171,"('Maruti Suzuki Celerio ZXI (O) AMT', 'Hatchback')"
172,"('Hyundai New Santro 1.1 Sportz MT', 'Hatchback')"
173,"('Maruti Suzuki Swift Dzire VDI', 'Sedan')"
174,"('Hyundai Grand i10 sportz (o) 1.2 U2 CRDi Diesel', 'Hatchback')"
175,"('Tata Zest XMA Diesel', 'Sedan')"
176,"('Tata Altroz XM Plus 1.5', 'Hatchback')"
177,"('Hyundai i20 Sportz 1.2', 'Hatchback')"
178,"('Mahindra XUV500 W8', 'SUV')"
179,"('Hyundai Xcent S AT Petrol', 'Sedan')"
180,"('Renault Kiger RXZ Turbo CVT', 'SUV')"
181,"('Mahindra XUV 300 W6 AMT Diesel', 'SUV')"
182,"('Ford Freestyle Titanium 1.2', 'Hatchback')"
183,"('Maruti Suzuki Ritz Vdi', 'Hatchback')"
184,"('Tata Nano Twist XT Petrol', 'Hatchback')"
185,"('Nissan Magnite XV Turbo CVT', 'SUV')"
186,"('Hyundai Neo Fluidic Elantra 1.6 SX AT CRDi', 'Sedan')"
187,"('Maruti Suzuki Eeco AC 5 STR', 'Van')"
188,"('Maruti Suzuki Dzire VXI', 'Sedan')"
189,"('Kia Sonet HTX Plus 1.0 iMT', 'SUV')"
190,"('Maruti Suzuki Celerio VXI AMT', 'Hatchback')"
191,"('Ford EcoSport Titanium + 1.5L Ti-VCT AT', 'SUV')"
192,"('Hyundai i20 Sportz 1.4 CRDI', 'Hatchback')"
193,"('Mahindra TUV300 T8', 'SUV')"
194,"('Skoda Rapid New Ambition Petrol', 'Sedan')"
195,"('Maruti Suzuki S-Presso VXI Plus AT', 'Hatchback')"
196,"('Renault Duster 85 PS RXS MT', 'SUV')"
197,"('Renault Triber RXZ', 'SUV')"
198,"('Hyundai Grand i10 Sportz 1.2 CRDi', 'Hatchback')"
199,"('Maruti Suzuki Alto K10 VXI (O)', 'Hatchback')"
200,"('Ford EcoSport Signature Edition Petrol', 'SUV')"
201,"('Hyundai Santa Fe 2 WD', 'SUV')"
202,"('Kia Seltos GTX DCT', 'SUV')"
203,"('Maruti Suzuki Alto LXI', 'Hatchback')"
204,"('Maruti Suzuki Ritz VXI', 'Hatchback')"
205,"('Honda City V 4th Gen', 'Sedan')"
206,"('Ford EcoSport Titanium 1.5L TDCi (Opt)', 'SUV')"
207,"('Hyundai Verna SX Opt IVT Petrol', 'Sedan')"
208,"('Ford Figo Titanium Petrol', 'Hatchback')"
209,"('Renault Duster 110 PS RxL', 'SUV')"
210,"('Maruti Suzuki Baleno Alpha AT Petrol', 'Hatchback')"
211,"('Toyota Yaris VX CVT', 'Sedan')"
212,"('Hyundai Fluidic Verna 4S 1.6 VTVT SX', 'Sedan')"
213,"('Maruti Suzuki Dzire VXI AMT', 'Sedan')"
214,"('Hyundai Creta 1.6 SX Plus', 'SUV')"
215,"('Maruti Suzuki S-Presso VXI CNG', 'Hatchback')"
216,"('Hyundai Elite i20 Sportz Plus 1.2', 'Hatchback')"
217,"('Chevrolet Cruze LTZ AT', 'Sedan')"
218,"('Renault Duster RXS CVT Petrol', 'SUV')"
219,"('Honda Jazz V Diesel', 'Hatchback')"
220,"('Volkswagen Polo All Star 1.5 (D)', 'Hatchback')"
221,"('Maruti Suzuki Dzire ZXI Plus AMT', 'Sedan')"
222,"('Tata Harrier XZ Plus', 'SUV')"
223,"('Hyundai Creta 1.4 S', 'SUV')"
224,"('Kia Sonet GTX Plus 1.5 Dual Tone', 'SUV')"
225,"('Volkswagen Polo Highline Plus 1.0 MPI', 'Hatchback')"
226,"('Renault Scala RxZ Diesel', 'Sedan')"
227,"('Renault Duster 85 PS RxL (Opt)', 'SUV')"
228,"('Ford Figo Aspire Titanium Plus 1.2 Ti-VCT', 'Sedan')"
229,"('Mahindra XUV500 W9', 'SUV')"
230,"('Ford Freestyle Titanium Plus 1.2 Ti-VCT', 'Hatchback')"
231,"('Mahindra Marazzo M6 8str', 'MPV')"
232,"('Ford EcoSport Titanium 1.5L TDCi', 'SUV')"
233,"('Hyundai Venue SX 1.0 (O) Turbo', 'SUV')"
234,"('Honda City ZX CVT', 'Sedan')"
235,"('Maruti Suzuki Vitara Brezza ZDI PLUS AT Dual Tone', 'SUV')"
236,"('Maruti Suzuki Dzire ZXI Plus', 'Sedan')"
237,"('Honda Jazz SV MT', 'Hatchback')"
238,"('Maruti Suzuki Ertiga ZDI', 'MPV')"
239,"('Hyundai Verna Fluidic 1.6 CRDi SX Opt AT', 'Sedan')"
240,"('Honda Mobilio V Petrol', 'MPV')"
241,"('Renault Captur RXE Petrol', 'SUV')"
242,"('Hyundai Creta SX OPT Turbo DCT Petrol', 'SUV')"
243,"('Mahindra Marazzo M6', 'MPV')"
244,"('Hyundai Creta 1.6 SX OPT VTVT', 'SUV')"
245,"('Renault Duster RXL Petrol', 'SUV')"
246,"('Maruti Suzuki Ciaz ZXI+', 'Sedan')"
247,"('Honda Amaze 1.5 VX CVT i-DTEC', 'Sedan')"
248,"('Tata Safari XZ Plus 6 STR', 'SUV')"
249,"('Ford Figo Titanium1.5 TDCi', 'Hatchback')"
250,"('Skoda Octavia 2.0 TDI AT Style', 'Sedan')"
251,"('Honda BR-V VX MT Petrol', 'SUV')"
252,"('Hyundai Elite i20 Magna 1.4 CRDI', 'Hatchback')"
253,"('Tata Tiago XZ Plus Dual Tone Roof', 'Hatchback')"
254,"('Hyundai Verna Fluidic 1.6 VTVT SX', 'Sedan')"
255,"('Kia Sonet HTX 1.0 DCT', 'SUV')"
